X X X X X X X X X X X X X X X X X X X X X X 
X 1 1 1 0 0 E 0 0 0 0 0 0 0 0 0 0 E 0 0 0 X 
X 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 X 
X 1 1 1 0 1 P 0 1 1 0 1 1 1 1 0 0 1 0 1 0 X 
X 1 1 1 0 1 0 0 1 1 0 1 1 1 1 0 0 1 0 1 0 X 
X 1 1 1 0 1 1 0 1 1 0 1 1 1 1 0 0 1 0 1 0 X 
X 1 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 X 
X 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 X 
X 1 1 1 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 X 
X 1 1 1 0 1 1 0 1 0 1 1 1 1 0 0 1 1 0 0 0 X 
X 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 X 
X 1 1 1 1 1 1 0 0 0 0 0 0 0 E 0 0 0 0 0 0 X 
X 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 X 
X 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 X 
X 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 X 
X 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 X 
X 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 X 
X 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 0 0 X 
X 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 0 0 X 
X 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 0 0 X 
X 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 X 
X X X X X X X X X X X X X X X X X X X X X X 
